Construct_Name,Source,Total_Paper_Count,Concept_Levels,Journal_Count,Journals,Year_Min,Year_Max,Recovered_Level2,Old_Unified_Paper_Count,Definition_Text,Definition_Source,Last_Updated
Job satisfaction,OpenAlex,4083,2,8,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1923,2026,True,1238,"Job satisfaction, employee satisfaction or work satisfaction is a measure of workers' contentment with their job, whether they like the job or individual aspects or facets of jobs, such as nature of work or supervision. Job satisfaction can be measured in cognitive (evaluative), affective (or emotional), and behavioral components.",Wikidata,2026-03-10T01:46:21+00:00
Job performance,OpenAlex,2422,3,8,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1927,2026,False,884,"Job performance assesses whether a person performs a job well. Job performance, studied academically as part of industrial and organizational psychology, also forms a part of human resources management.",Wikidata,2026-03-10T01:46:22+00:00
Organizational commitment,OpenAlex,2117,2,8,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1933,2026,True,1113,"In organizational behavior and industrial and organizational psychology, organizational commitment is an individual's psychological attachment to the organization. Organizational scientists have also developed many nuanced definitions of organizational commitment, and numerous scales to measure them.",Wikidata,2026-03-10T01:46:24+00:00
Job attitude,OpenAlex,1153,4,8,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1939,2026,False,307,"A job attitude is a set of evaluations of one's job that constitute one's feelings toward, beliefs about, and attachment to one's job. Overall job attitude can be conceptualized in two ways.",Wikidata,2026-03-10T01:46:25+00:00
Big Five personality traits,OpenAlex,911,3,8,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1926,2026,False,258,"In psychology and psychometrics, the Big Five personality trait model or five-factor model (FFM), sometimes called by the mnemonic acronym OCEAN or CANOE, is a scientific model for measuring and describing human personality traits. The framework groups variation in personality into five separate factors, all measured on a continuous scale:  openness (O) measures creativity, curiosity, and willingness to entertain new ideas.",Wikidata,2026-03-10T01:46:26+00:00
Career development,OpenAlex,908,2,8,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1962,2026,True,169,Career development refers to the process an individual may undergo to evolve their occupational status. It is the process of making decisions for long-term learning to align personal needs for physical or psychological fulfillment with career advancement opportunities.,Wikidata,2026-03-10T01:46:27+00:00
Test validity,OpenAlex,777,3,8,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1923,2026,False,0,"Test validity is the extent to which a test (such as a chemical, physical, or scholastic test) accurately measures what it is supposed to measure. In the fields of psychological testing and educational testing, ""validity refers to the degree to which evidence and theory support the interpretations of test scores entailed by proposed uses of tests"".",Wikidata,2026-03-10T01:46:28+00:00
Turnover,OpenAlex,719,2,8,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1920,2026,True,126,Turnover or turn over may refer to:,Wikidata,2026-03-10T01:46:29+00:00
Interpersonal communication,OpenAlex,667,2,8,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1953,2026,True,199,Interpersonal communication is an exchange of information between two or more people. It is also an area of research that seeks to understand how humans use verbal and nonverbal cues to accomplish several personal and relational goals.,Wikidata,2026-03-10T01:46:30+00:00
Job design,OpenAlex,652,4,7,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1939,2026,False,433,"Work design (also referred to as job design or task design) is an area of research and practice within industrial and organizational psychology, and is concerned with the ""content and organization of one's work tasks, activities, relationships, and responsibilities"" (p. 662).",Wikidata,2026-03-10T01:46:32+00:00
Supervisor,OpenAlex,650,2,8,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1950,2026,True,162,"A supervisor, or lead, (also known as foreman, boss, overseer, facilitator, monitor, area coordinator, line-manager or sometimes gaffer) is the job title of a lower-level management position and role that is primarily based on authority over workers or a workplace. A supervisor can also be one of the most senior on the employees at a place of work, such as a professor who oversees a Ph.D. dissertation.",Wikidata,2026-03-10T01:46:33+00:00
Personnel selection,OpenAlex,640,2,7,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1917,2026,True,135,"Personnel selection is the methodical process used to hire (or, less commonly, promote) individuals. Although the term can apply to all aspects of the process (recruitment, selection, hiring, onboarding, acculturation, etc.) the most common meaning focuses on the selection of workers.",Wikidata,2026-03-10T01:46:34+00:00
Job analysis,OpenAlex,639,3,7,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1923,2026,False,0,Job analysis (also known as work analysis) is a family of procedures to identify the content of a job in terms of the activities it involves in addition to the attributes or requirements necessary to perform those activities. Job analysis provides information to organizations that helps them determine which employees are best fit for specific jobs.,Wikidata,2026-03-10T01:46:35+00:00
Organizational citizenship behavior,OpenAlex,594,3,8,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1933,2026,False,298,"In industrial and organizational psychology, organizational citizenship behavior (OCB)  is a person's voluntary commitment within an organization or company that is not part of his or her contractual tasks. Organizational citizenship behavior has been studied since the late 1970s.",Wikidata,2026-03-10T01:46:36+00:00
Construct validity,OpenAlex,498,3,8,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1938,2025,False,0,Construct validity concerns how well a set of indicators represents or reflects a concept that is not directly measurable. Construct validation is the accumulation of evidence to support the interpretation of what a measure reflects.,Wikidata,2026-03-10T01:46:37+00:00
Population,OpenAlex,475,2,8,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1931,2026,True,140,"In biology, a population of organisms is a group of individuals of the same species, defined by a discontinuity or disjunction from other groups of individuals in certain characteristics, such as living area, genetic attributes, demographic structure. Among biologists, the term definition varies, in some cases significantly, and sometimes those variations can be confusing.",Wikidata,2026-03-10T01:46:38+00:00
Economic Justice,OpenAlex,460,2,8,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1945,2025,True,119,"Economic justice is a component of social justice and welfare economics. It is a set of moral and ethical principles for building economic institutions, where the ultimate goal is to create an opportunity for each person to establish a sufficient material foundation upon which to have a dignified, productive, and creative life.",Wikidata,2026-03-10T01:46:39+00:00
Extraversion and introversion,OpenAlex,460,4,8,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1929,2026,False,102,"Extraversion and introversion are a central trait dimension in human personality theory. The terms were introduced into psychology by Carl Jung, though both the popular understanding and current psychological usage are not the same as Jung's original concept.",Wikidata,2026-03-10T01:46:41+00:00
Situational ethics,OpenAlex,454,2,8,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1954,2026,True,142,"Situational ethics or situation ethics takes into account only the particular context of an act when evaluating it ethically, rather than judging it only according to absolute moral standards. With the intent to have a fair basis for judgments or action, one looks to personal ideals of what is appropriate to guide them, rather than an unchanging universal code of conduct, such as Biblical law under divine command theory or the Kantian categorical imperative.",Wikidata,2026-03-10T01:46:42+00:00
Organizational change,OpenAlex,400,2,7,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1947,2026,True,183,"Organizational behavior or organisational behaviour (see spelling differences) is the ""study of human behavior in organizational settings, the interface between human behavior and the organization, and the organization itself"". Organizational behavioral research can be categorized in at least three ways:   individuals in organizations (micro-level) work groups (meso-level) how organizations behave (macro-level) Chester Barnard recognized that individuals behave differently when acting in their organizational role than when acting separately from the organization.",Wikidata,2026-03-10T01:46:43+00:00
