Construct_Name,Source,Total_Paper_Count,Concept_Levels,Journal_Count,Journals,Year_Min,Year_Max,Exclusion_Reason
PsycINFO,OpenAlex,710,3,2,Applied Psychology: An International Review; Journal of Applied Psychology,1976,2026,exact:PsycINFO
Reliability (semiconductor),OpenAlex,413,3,8,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1922,2025,exact:Reliability (semiconductor)
Promotion (chess),OpenAlex,261,3,8,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1920,2026,exact:Promotion (chess)
Similarity (geometry),OpenAlex,201,3,7,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1937,2026,exact:Similarity (geometry)
White (mutation),OpenAlex,176,3,7,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1917,2025,exact:White (mutation)
Infectious disease (medical specialty),OpenAlex,130,3,8,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1984,2025,exact:Infectious disease (medical specialty)
Coronavirus disease 2019 (COVID-19),OpenAlex,128,4,8,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1984,2025,exact:Coronavirus disease 2019 (COVID-19)
Investment (military),OpenAlex,119,3,8,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1957,2025,exact:Investment (military)
Military psychology,OpenAlex,3,3,1,Personnel Psychology,1948,1959,keyword:military
Military aviation,OpenAlex,2,3,1,Journal of Applied Psychology,1954,1959,keyword:military
Computer user satisfaction,OpenAlex,1,4,1,Academy of Management Journal,1993,1993,keyword:computer user satisfaction
